commit	mission_reward	secondary_rewards	steps	status	description
baseline	0.530000	aligned.junction.held=4278 hearts.gained=1.5	1000	keep	scripted machina_roles 4A baseline (no miners)
f98e9c4	0.720000	aligned.junction.held=6190 hearts.gained=2.25 carbon.deposited=21 germanium.deposited=21 oxygen.deposited=20 silicon.deposited=13	1000	keep	element-aware mining: 3A+1M(no scout) scripted fallback - balanced elements carbon:germanium:oxygen:silicon=21:21:20:13 ratio
992e01a	0.719000	aligned.junction.held=6820 hearts.gained=6.33 carbon.deposited=20 germanium.deposited=14 silicon.deposited=11 oxygen.deposited=18	1000	discard	retry-get-heart-at-hub: when hub stalls return get_heart instead of explore - neutral result vs baseline; miner stuck ~590 steps on depleted extractors
ecd621e	0.810000	aligned.junction.held=7091 hearts.gained=2.25 carbon.deposited=20 germanium.deposited=21 silicon.deposited=20 oxygen.deposited=21 aligned.junction=8	1000	keep	fast-extractor-abandon: reduce depleted extractor detection 20->3 steps; silicon deposits +54% (13->20); 8 junctions aligned (was 6); max_stuck 590->410; EXCEEDS 0.80 TARGET!
3d49938	0.720000	aligned.junction.held=6195 hearts.gained=2.25 carbon.deposited=20 germanium.deposited=20 silicon.deposited=13 oxygen.deposited=20 aligned.junction=2	1000	discard	threshold=1+remove-element-set: too aggressive - miner abandons valid extractors before mining; silicon back to 13; revert to threshold=3
4fbe96b	0.740000	aligned.junction.held=6383 hearts.gained=1.60 carbon.deposited=10 germanium.deposited=10 silicon.deposited=10 oxygen.deposited=10 aligned.junction=5	1000	discard	4A+1M-5agents: miner dilutes avg reward; deposits only 10 each (vs 20); no make_heart cycle; 3A+1M still best
c54f1e2	0.720000	aligned.junction.held=6195 hearts.gained=2.25 carbon.deposited=20 germanium.deposited=20 silicon.deposited=13 oxygen.deposited=20	1000	discard	early-deposit-balanced: never triggered (LLMMinerPolicyImpl.step_with_state bypasses MinerSkillImpl); also found per-element removal caused regression; reverted both
ecd621e	0.550000	aligned.junction.held=4475 hearts.gained=1.25 silicon.deposited=10	1000	discard	verify-081: same code as 0.81 best but got 0.55 - confirms high LLM variance; single episode results are noisy
f40ba87	0.730000	aligned.junction.held=? hearts.gained=6.25 max_stuck=1815 silicon.gained=11	1000	discard	get-heart-patience=6: creates infinite hub loop (was_stuck=False with paused message); max_stuck=1815 catastrophic
3cb3458	0.720000	aligned.junction.held=? hearts.gained=6.0 max_stuck=1455 silicon.gained=10	1000	discard	fix-depleted-extractor-element-sets: emptied silicon element set by removing depleted positions; germanium dropped to 10; both worse
ecd621e	0.680000	aligned.junction.held=? hearts.gained=? max_stuck=1819 silicon.gained=?	1000	keep	baseline-3episode: 3-episode fair comparison of ecd621e; episodes=(0.73, 0.52, 0.79); mean=0.68 (NOT 0.81 - that was lucky single ep); confirms high variance
c96dbdb	0.740000	aligned.junction.held=? hearts.gained=6.5 max_stuck=93 silicon.gained=10.75 junction.aligned=6.25	1000	keep	get-heart-stale-exit: use stale message for get_heart hub-empty (was_stuck=True); max_stuck drops 1819→93 dramatic improvement; mean=0.74 vs 0.68 baseline (+9%); 3 episodes=(0.67, 0.77, 0.79)
ec4f555	0.537000	hearts.gained=3.62 max_stuck=442 silicon.gained=15 junction.aligned=3.12 timeouts=348	1000	discard	silicon-aware-explore: trigger never fired (silicon always 30-45 known extractors); code no-op; mean=0.53 (0.81 0.52 0.28) vs 0.74 baseline; high LLM timeouts 348 vs 24
f85b3f2	0.510000	hearts.gained=3.5 max_stuck=444 silicon.gained=14.5 junction.aligned=2.88 timeouts=249	1000	discard	consecutive-get-heart-stale: force explore after 2 stale exits; override FIRES correctly; but heart.gained drops 6.5->3.5; exploring sends aligners away from hub missing make_heart windows; junctions 6.25->2.88; WORSE
