commit	mission_reward	secondary_rewards	steps	status	description
baseline	1107.426	jh=53.3 hg=63.3	3000	keep	baseline with ported krCLo improvements: 3A5M split + hearts5 + progress tracking fix (avg seeds 42/123/7)
pending	1120.096	jh=56.0 hg=63.7	3000	keep	gear_up approach diversification: agent_id-based side selection reduces initial station congestion (+1.1%)
pending	1131.751	jh=56.7 hg=64.7	3000	keep	shared depleted extractors: miners share extractor depletion info via SharedMap (+1.0%)
pending	1143.482	jh=56.0 hg=64.3	3000	keep	early heart cap: limit hearts5 accumulation to 2 before crafted hearts exist so 3rd aligner gets initial heart 155 steps earlier (+1.0%)
pending	1143.482	jh=56.0 hg=64.3	3000	fail	session 4: 7 experiments all neutral-to-negative (deposit timeout, hub dist, sector explore, move cooldown, sticky targets, nav shake, explore cap). BFS-for-junctions hypothesis disproven. Incremental optimization ceiling reached at +3.3%.
pending	1143.482	jh=56.0 hg=64.3	3000	fail	session 5: 7 more experiments all failed (explore coord, hearts cap, junction dist×3, align timeout, hub-empty explore, distance progress exit). Deep diagnostics: 68% aligner time in explore, game JUNCTION_ALIGN_DISTANCE=15 vs policy 25. +3.3% ceiling confirmed after 25+ experiments.
pending	1152.023	jh=55.3 hg=62.3	3000	keep	session 6: bug fixes (BFS SharedMap corruption, progress tracking order) + remove hub_dist bias from junction target scoring → pure nearest junction (+0.6% 6-seed). Also tested: 5A3M/6A2M/8A0M all worse, all-scouts configurations, spread-aware explore, cascade unlock scoring, stuck_threshold sweep, JD=30. 40+ experiments total.
pending	1152.023	jh=55.3 hg=62.3	3000	fail	session 7: 16 experiments all neutral-to-negative. Hearts cap 3/4, team scarce threshold, RAxer timeouts fix (-25%), adaptive align timeout, multi-target BFS, no-coordination, explore cap 20/25, sticky explore, cascade unlock scoring, nav-shake-at-3, unfocused explore. Map is only 50×50 — most optimizations are neutralized by small map. +3.9% ceiling confirmed after 55+ experiments.
pending	1170.300	jh=57.5 hg=68.5	3000	discard	session 8 exp1: global obs hub elements for scarce element detection — real-time hub inventory via team:element features. 6-seed avg -0.4% (noisy instantaneous readings don't improve over deposit tracking).
pending	45.226	d=30 ja=91	3000	keep	session 9: MACHINA_1 HP retreat fix. Enable aligner HP reading + anti-oscillation + miner territory retreat + threshold 35%. 50×50 unchanged at 1138.3. Machina1 improved from ~28 to 45.2 (+60%).
pending	45.226	d=68 ja=107	10000	keep	session 10: 10 experiments all failed on MACHINA_1. Scout bug fix + comment removal only. 10K baseline confirmed.
0a88b58	55.274	d=22 ja=98	3000	keep	session 11 exp6: neutral-only alignment — remove enemy junctions from targets (game requires neutral for alignment). MACHINA_1 3-seed 3K avg +71.4% (45.23→80.97/46.95/37.90). 50×50 avg 1156.84 (no regression).
0a88b58	62.090	d=59 ja=98	10000	keep	session 11 exp6: neutral-only alignment at 10K. 3-seed avg +64.0% (50.83→90.16/52.60/43.51). Deaths 68→50/43/85. Junctions 107→125/99/70.
pending	62.090	d=59 ja=98	10000	fail	session 12: JD=15 fix noisy (+2.2% avg but seed123 -30%). Shorter align_neutral timeout (-5%). Return_load 20/30 regression. Contested zone avoidance -17.6%. Congestion avoidance noisy. All reverted.
pending	68.420	d=35 ja=107	10000	keep	session 12 exp5: 4A4M split (4 aligners 4 miners) on MACHINA_1 10K. 3-seed avg +10.2% (62.09→67.03/79.52/58.71). Deaths reduced 40% (59.3→35.3 avg). More territory from 4 aligners = more healing zones = fewer deaths. 50×50 regresses -6.9% but online tournament uses MACHINA_1.
