commit	mission_reward	secondary_rewards	steps	status	description
be91f19	0.100000	aligned.junction.held=0	500	keep	Untrained LSTM baseline on competition map (10 episodes)
c96fc40	-0.780000	aligned.junction.held=0	1000	discard	RL from scratch (5 epochs braveheart arena + credit + milestones_2) - no progress
c96fc40	0.500000	aligned.junction.held=0 cell.visited=27584	500	keep	BC-pretrained policy (arena-only 98.93% acc) on arena - 5x baseline improvement
39bedda	0.050000	aligned.junction.held=0 clips.aligned=5520	500	discard	BC policy on competition map - worse than baseline (arena BC doesnt transfer)
39bedda	0.000000	aligned.junction.held=0	500	discard	BC→RL fine-tune (ent_coef=0.1) - entropy stuck at 0.109 - dead end
39bedda	0.070000	aligned.junction.held=180 aligned.junction=1	500	keep	BREAKTHROUGH: Curriculum p1 (max_dist=6) epoch 20 on competition map - first RL junction alignment ever!
654a0ac	0.050000	aligned.junction.held=0 cell.visited=16726	500	discard	Curriculum p1 epoch 30 on competition map - worse than epoch 20 (entropy rise degradation)
654a0ac	0.050000	aligned.junction.held=199 aligned.junction=0.33	500	discard	Curriculum p2 epoch 30 (arena max_dist=10) on competition - slight improvement but transfer gap
654a0ac	0.050000	aligned.junction.held=0	500	discard	Curriculum p2 epoch 50 (arena max_dist=10) on competition - over-specialized to arena layout
a8b294c	0.072000	aligned.junction.held=223 aligned.junction.gained=1.4	500	keep	BEST: Curriculum p1 epoch 90 (competition-map training, max_dist=6, aligner+credit) - 5-ep avg
a8b294c	0.343000	aligned.junction.held=249 cell.visited=551799	2500	keep	Epoch 90 at 2500 steps (3-ep avg) - reward scales with episode length
b855825	1.000000	aligned.junction.held=5.67 cell.visited=2519894	10000	keep	Epoch 90 at 10000 steps (3-ep) - reward=1.0 but from hearts not junctions
b855825	0.050000	aligned.junction.held=0	500	discard	Lowent (seed100 ent=0.005) epoch 30 on competition - doesn't transfer to natural maps
b855825	0.050000	aligned.junction.held=0	500	discard	Lowent epoch 55 on competition - also no transfer
b855825	0.050000	aligned.junction.held=0	500	discard	Lowent epoch 30 eval seed 100 - not seed-specific, curriculum close junctions dont generalize
b855825	0.050000	aligned.junction.held=0	500	discard	Highent (seed200 ent=0.03) epoch 90 on competition - same as lowent, fine-tuning from e90 doesnt transfer
