commit	mission_reward	secondary_rewards	steps	status	description
d7981d1	0.030400	junction.gained=2.04 silicon.deposited=40	100	keep	Issue38 mortality fix: miner try/except + defensive wrappers + auto-scripted-miners + auto-scouts (8 agents all survived)
d7981d1	0.000000	timeout after ~20 LLM calls	500	crash	Same code 500-step run timed out — LLM contention 40-184s/call with 4 aligner LLM calls
3a08a3a	5.971987	junction.aligned=6 silicon.gained=100 heart.gained=6	500	keep	Scripted aligners: 196x improvement! No LLM calls at 8 agents — deterministic rule-based planner
3a08a3a	4.579992	junction.aligned=6 silicon.gained=100 heart.gained=6	1000	keep	Same code 1000 steps — reward/step decreases because team plateaus at 6 junctions after ~500 steps
3a08a3a	6.328000	junction.aligned=10 hearts=11 carbon=150 silicon=200	500	keep	2 aligners + 6 miners: more miners find all 4 elements enabling heart crafting (seed=42)
3a08a3a	6.418000	junction.aligned=8 hearts=9	500	keep	2 aligners + 6 miners (seed=43)
3a08a3a	6.576000	junction.aligned=10 hearts=10	500	keep	2 aligners + 6 miners (seed=44)
1be20b8	6.458000	avg 10-seed junction.aligned=9.0 hearts=9.4	500	keep	num_aligners=auto (2 at 8+) — 10-seed avg at 500 steps
1be20b8	7.248000	junction.aligned=19 hearts=20	1000	keep	Same code 1000 steps — peak reward per step
1be20b8	3.720000	junction.aligned=25 hearts=26 hp=706/800	3000	keep	Same code 3000 steps — junction plateau at 25 HP starting to decay
3b9249b	6.958000	avg 10-seed junctions=10.4 hearts=10.8	500	keep	Junction coordination + deposit tracking: team-scarce element now works (+7.7% vs 6.458 baseline)
3b9249b	7.435000	avg 3-seed junctions=16 hearts=17	1000	keep	Same code 1000 steps — seed42 gets 26 junctions (was 19)
PENDING	7.140000	avg 10-seed junctions=12.0 hearts=13.0	500	keep	Shared extractors_by_element + forced explore for scarce elements: +10.6% vs baseline
