commit	mission_reward	secondary_rewards	steps	status	description
4531257	41.850000	online_rank=#5	10000	keep	baseline: evyIm-73a-stuck15 online score (132 comp matches)
14f5686	0.000000	cannot_test_offline	0	discard	toEqP integration: HUB=30, 5A+3M, spread, enemy — ALL proven to hurt online
f26807b	0.000000	cannot_test_offline	0	discard	early-game heart dispatch — reverted, similar to patience=10 which hurt online
f693106	0.000000	cannot_test_offline	0	keep	contamination avoidance: track gear-switch cells, avoid in BFS
98e69b8	41.850000	structural_only	10000	keep	reverted parameter changes, kept structural improvements
d186121	0.000000	cannot_test_offline	0	keep	distance-aware retreat + phase-aware defense + step counter
faa6433	0.000000	bug_fix	0	keep	fix: progress tracking was always False for get_heart/align_neutral
e76016b	0.000000	bug_fix	0	keep	fix: same progress tracking bug in cross_role_policy.py
002e564	0.000000	bug_fix	0	keep	fix: _bfs_without_cooldowns corrupting SharedMap via in-place set mutation
99e9677	0.000000	bug_fix	0	keep	fix: junction blacklist removing targets from SharedMap, hiding from all agents
6ffee00	0.000000	structural_only	0	keep	defend patrol: cycle between junctions instead of sitting idle
b1f88b9	0.000000	structural_only	0	keep	defend navigation: prefer hazard-avoiding paths
3925e4d	0.000000	bug_fix	0	keep	fix: HP retreat oscillation — recovery threshold was same as retreat
fdcf930	0.000000	critical_bug_fix	0	keep	fix: HP retreat was completely dead — _read_hp returned None
85cffcd	0.000000	structural_only	0	keep	improve: _move_to uses full BFS fallback chain for exploration
88a8a64	0.000000	bug_fix	0	keep	fix: contamination false positive on death + defend/retreat navigation for junctions
f3b411d	0.000000	structural_only	0	keep	fix: retreat stuck detection — cancel retreat after 50 stuck steps
88a8a64	0.000000	bug_fix	0	keep	fix: contamination false positive on death + defend/retreat navigation for junctions
02e8ecf	0.000000	structural_only	0	keep	improve: collect hearts during HP retreat when near hub
0e6f90d	0.000000	bug_fix	0	keep	fix: cap miner max_hp_seen at base HP to prevent permanent retreat
d465237	0.000000	bug_fix	0	keep	fix: base miner max_hp_seen cap + periodic blacklist expiry
d3d0530	0.000000	structural_only	0	keep	improve: defend exits early when miners craft new hearts
a179d78	0.000000	bug_fix	0	keep	fix: abort get_heart/align_neutral immediately on aligner gear loss
3d133f0	0.000000	bug_fix	0	keep	fix: cancel current skill on HP retreat start and recovery
6df3b52	0.000000	bug_fix	0	keep	fix: miner junction tracking fails to detect friendly→neutral flips
18d4b8d	0.000000	bug_fix	0	keep	fix: defend patrol precedence + miner HP retreat skill cancellation
3008f37	0.000000	bug_fix	0	keep	fix: gear_up ignores shared aligner station knowledge from team
045a8aa	0.000000	bug_fix	0	keep	fix: deposit tracking counts cargo lost on death as deposits
c80aabd	0.000000	structural_only	0	keep	improve: defend patrol prioritizes junctions near enemy territory
473fd86	0.000000	bug_fix	0	keep	fix: _JUNCTION_ALIGN_DISTANCE 25→15 to match game engine cascade range
e58e5b8	0.000000	structural_only	0	keep	improve: cascade priority scoring considers junction unlock potential
1c57455	0.000000	structural_only	0	keep	improve: align_neutral BFS fallback adds without-cooldowns+no-hazard-avoid
dfae4c1	0.000000	bug_fix	0	keep	fix: aligner removes own stations from shared hazard set
33b33e6	0.000000	bug_fix	0	keep	fix: miner removes own stations from shared hazard set
d77c2a5	0.000000	structural_only	0	keep	improve: miner hub tethering prevents distant deaths and cargo loss
0e5c771	0.000000	structural_only	0	keep	improve: aligner hub tether + enemy recapture priority + contamination cap
f4c17b3	0.000000	structural_only	0	keep	improve: lower team scarce element threshold 5→3 for faster heart production
ce85c3c	0.000000	bug_fix	0	keep	fix: share depleted_extractors via SharedMap to prevent duplicate mining
162414c	0.000000	structural_only	0	keep	improve: goal-directed BFS expansion for miner navigation
d41eb40	0.000000	structural_only	0	keep	improve: miners deposit at nearest friendly junction when closer than hub
5cd0954	0.000000	bug_fix	0	keep	fix: miner death false deposits + aligner contamination cell expiry
785ff9b	0.000000	structural_only	0	keep	improve: distance-based aligner target yielding instead of blanket blacklist
5150e3b	0.000000	structural_only	0	keep	improve: heartless defenders exit sooner (stuck*4) to get hearts for recapture
dfd0e4a	0.000000	structural_only	0	keep	improve: miner extractor selection considers junction deposit proximity
a0077ea	0.000000	structural_only	0	keep	improve: heartless defenders react to enemy junctions + single-junction explore
93ab1cc	0.000000	structural_only	0	keep	improve: territory-aware aligner tether + multi-enemy defend scoring
2828173	0.000000	bug_fix	0	keep	fix: heart withdrawal overcount + faster blacklist expiry + earlier defense
b567a03	0.000000	structural_only	0	keep	improve: early heart grab — aligners collect hearts before gear-up
