commit	mission_reward	secondary_rewards	steps	status	description
baseline	0.390000	Ge.dep=0,C.dep=0,O.dep=0,Si.dep=0,hearts=0,junctions=1.33	1000	keep	Baseline: machina_roles 2A1M scripted - StarterCogPolicyImpl miner never deposits
50b915f	0.590000	C.dep=21,Ge.dep=21,O.dep=11,Si.dep=1,hearts=1craft,junctions=5	1000	keep	v3: BalancedMinerPolicyImpl element-aware mining with 30-step near-hub search + mine_until_full fallback. Deposits C+Ge+O but Si unreachable (avg over seeds 0 1 2)
1b7b530	0.603333	C.dep=14,Ge.dep=21,O.dep=10,Si.dep=21,hearts=1craft,junctions=9	1000	keep	v4: Approach-cell hub deposit fix + full-map exploration. Si now found but O in enemy territory causes 1 death (avg 0.66/0.57/0.58)
34f4b60	0.623333	C.dep=14,Ge.dep=21,O.dep=10,Si.dep=21,junctions=9	1000	keep	v5: Unreachable extractor tracking prevents death loop to O@(-31,10). Fallback to mine_until_full when all known extractors unreachable (avg 0.65/0.64/0.58)
dd25858	0.651000	C.dep=14,Ge.dep=21,O.dep=10,Si.dep=21,junctions=9 seed42	1000	keep	v6: Safe near-hub search (40 steps) after all extractors of type unreachable. Improves O recovery after enemy-territory mark. avg 0.601/0.647/0.704 seeds 0/1/2
eb759c8	0.653333	C.dep=10,Ge.dep=10,O.dep=10,Si.dep=4 seed0	1000	keep	v7: Fix aligner hub navigation with avoid_hazards=True for _get_heart. Prevents stuck loops at hub. Aligner[0] max_steps_without_motion 714->1. avg 0.609/0.647/0.704 seeds 0/1/2
62a83a3	0.653333	C.dep=10,Ge.dep=10,O.dep=10,Si.dep=4 seeds0-2	1000	keep	v8: SharedMap per-element extractor tracking for persistence across miner deaths. No measurable improvement for seeds 0-2 (same 0.609/0.647/0.704)
b9bbcab	0.653333	same as v8	1000	keep	v9: Per-element search timeout (Si/Ge get 160 steps vs C/O at 80). Same result - Si bottleneck is death not search time
62c9fcc	0.652000	Si.dep=4 seed0 C.dep=10 seed1	1000	discard	v10: Focused single-element trips (7C then 7O then 7Ge then 7Si). Worse for seeds with hub needing all 4 elements simultaneously (miner completes fewer full cycles)
8766034	0.653333	same as v8 seeds0-2 seed6=0.501(was0.469)	1000	keep	v11: Heart timeout+patrol+junction-move-block fix+periodic blocked_cells reset. Seeds 0-2 unchanged. Seed 6 improved 0.469->0.501. Stuck aligners partially fixed
a2a2c59	0.670333	seed0=0.661(was0.609)+8.5%,seed1=0.646,seed2=0.704	1000	keep	v12: Patrol hub-return pulse every 40 steps. Fixed permanent patrol bug: aligner now periodically re-checks hub for newly-crafted hearts, enabling resumed alignment. avg 0.661/0.646/0.704
ba25368	0.667333	same as v12	1000	discard	v13: Faster hub-patrol cycle (25/20). avg 0.667. Reverted.
a03bbdc	0.638000	seed1=0.558	1000	discard	v14: Faster move_blocked reset 30 steps. Catastrophic. Reverted.
cc72293	0.670333	same as v12	1000	discard	v15: Clear unreachable_extractors. No change. Reverted.
7243bcb	0.670333	same as v12	1000	discard	v16: Nearby enemy junction priority. No change. Reverted.
fb94c72	0.670333	same as v12	1000	discard	v17: Junction blacklisting. No change. Reverted.
8f0ee54	0.670667	seed0=0.662,seed1=0.646,seed2=0.704	1000	keep	v18: Defend friendly junctions when heartless (noop on junction to block recapture). Tiny improvement seed0. avg 0.671.
741932d	0.537000	seed0=0.456(2A1S),seed1=0.447,seed2=0.708	1000	discard	v19: Add scout support - 2A+1Scout (no miner). Seed0/1 catastrophic (no miner means no heart supply). 4-cog variant also worse. Reverted.
b6da88b	0.681500	seed0=0.659,seed1=0.701,seed2=0.684	1000	keep	v20: Aligner junction claim coordination via SharedMap. Aligners now target different junctions. Seed1 +8.6% but seed2 -2.9%. Net avg 0.682 (+1.6% vs v18).
d291f60	0.690800	seed0=0.667,seed1=0.701,seed2=0.704	1000	keep	v21: Proximity-aware claims (only honor claim when claimer within 20 cells of target). Seed2 recovered to 0.704, seed0 improved. avg 0.691 (+3.0% vs v18).
