commit	mission_reward	secondary_rewards	steps	status	description
9b4c2d9	6.125	junction.held=6656;junction.gained=19;heart.withdrawn=6;carbon.deposited=200;oxygen.deposited=100;germanium.deposited=140;silicon.deposited=160;deaths=2	1000	keep	baseline 8A 3A5M LLM-miners stuck=28 seed=42 1k — issue #37 primary config; 0.77/agent exceeds 4.0 target
9b4c2d9	3.678	junction.held=3597;junction.gained=6;heart.withdrawn=5;carbon.deposited=346;oxygen.deposited=20;germanium.deposited=110;silicon.deposited=64;deaths=1	1000	keep	baseline 8A 3A5M LLM-miners stuck=28 seed=43 1k — below primary 4.0; imbalanced deposits (C=346 O=20)
9b4c2d9	4.171	junction.held=4214;junction.gained=12;heart.withdrawn=6;carbon.deposited=110;oxygen.deposited=90;germanium.deposited=100;silicon.deposited=160;deaths=0	1000	keep	baseline 8A 3A5M LLM-miners stuck=28 seed=44 1k — above primary 4.0; balanced deposits; 0 deaths
a2762b7	4.459	junction.held=4574;junction.gained=7;heart.withdrawn=7;carbon.deposited=166;oxygen.deposited=124;germanium.deposited=20;silicon.deposited=144;deaths=2	1000	discard	exp1-fastpath aligner seed=42 1k — 6.125→4.459 (-1.67). Fast-path skipped LLM in 57% of replans; junction.gained dropped 19→7. LLM events context matters even in 'trivial' states. Revert.
9f9840c	4.725	junction.held=4906;junction.gained=8;heart.withdrawn=6;carbon.deposited=30;oxygen.deposited=50;germanium.deposited=100;silicon.deposited=100;deaths=0	1000	discard	exp2-scripted-miners seed=42 1k — 6.125→4.725 (-1.40). Junction.gained 19→8.
9f9840c	3.075	junction.held=2844;junction.gained=4;heart.withdrawn=4;carbon.deposited=110;oxygen.deposited=0;germanium.deposited=80;silicon.deposited=90;deaths=0	1000	discard	exp2-scripted-miners seed=43 1k — 3.678→3.075 (-0.60). Oxygen=0. Scripted doesn't fix seed-43.
2573c84	3.239	junction.held=3049;junction.gained=6;heart.withdrawn=5;carbon.deposited=290;oxygen.deposited=0;germanium.deposited=100;silicon.deposited=110;deaths=0	1000	discard	exp3-explore-scarce seed=43 1k — 3.678→3.239 (-0.44). Forcing explore didn't help; O still 0. Explore alone can't find O if it's far away — need stronger pull.
7719296	6.472	junction.held=7090;junction.gained=20;heart.withdrawn=14;carbon.deposited=110;oxygen.deposited=100;germanium.deposited=180;silicon.deposited=160;deaths=0	1000	keep	exp4-4aligners seed=42 1k — 6.125→6.472 (+0.35). 4 aligners crafting 2x hearts (6→14) and 0 deaths. Junction.aligned_by_agent: 5+4+4+7=20.
7719296	4.476	junction.held=4595;junction.gained=6;heart.withdrawn=5;carbon.deposited=100;oxygen.deposited=0;germanium.deposited=20;silicon.deposited=120;deaths=0	1000	keep	exp4-4aligners seed=43 1k — 3.678→4.476 (+0.80). Still O=0 but aligners compensated.
7719296	4.709	junction.held=4886;junction.gained=11;heart.withdrawn=7;carbon.deposited=170;oxygen.deposited=110;germanium.deposited=40;silicon.deposited=170;deaths=1	1000	keep	exp4-4aligners seed=44 1k — 4.171→4.709 (+0.54). All 3 seeds improve; 3-seed avg 5.219 vs baseline 4.658 (+12%).
22bc5d8	13.484	junction.held=6854;junction.gained=17;heart.withdrawn=13;carbon.deposited=90;oxygen.deposited=70;germanium.deposited=180;silicon.deposited=160;deaths=11;agents_alive=5	10000	keep	exp7-10k-validation seed=42 10k — 1.69/agent at 10000 steps. Mortality criterion FAILED (3 of 8 agents dead). Reward scales 6.47→13.48 (2.08x for 10x steps — diminishing returns, likely due to deaths).
