commit	mission_reward	secondary_rewards	steps	status	description
3cdf29c	0.04	p1_gear_success=0.75/p2_gear_change=0.00/contamination=0.00	400	keep	baseline: hazard-aware miner gear_up + gear test harness; p1=6/8 agents correct; p2=0/8 (bootstrap only fires for gear==none, not for gear switch)
5b393ed	0.04	p1_gear_success=0.75/p2_gear_change=0.375/contamination=0.00	400	keep	gear_switch_v1: phase2 bootstrap fires when gear!=effective_preferred; p1=6/8; p2=3/8 (improvement!)
32788d6	0.04	p1_gear_success=0.875/p2_gear_change=0.25/contamination=0.125	400	discard	gear_switch_v2: shorter gear_up timeout (100 steps) + hazard adjacency buffer; p1=7/8 (meets target!); p2=2/8 worse; buffer causes path failures→contamination
5fef0a2	0.04	p1_gear_success=0.75/p2_gear_change=0.125/contamination=0.00	400	discard	gear_switch_v5: remove own-gear station from hazards during gear_up nav; p1=6/8; p2=1/8 (worse); agent4 (miner→aligner) succeeded showing fix direction; but greedy fallback still stale after 20 steps for most agents
6428d8b	0.04	p1_gear_success=0.75/p2_gear_change=0.375/contamination=0.00	400	discard	gear_switch_v6: _navigate_to_station_safe always returns non-None (bug); accidental p2=3/8 parity with v1; discovered _navigate_to_station always returns direction via greedy fallback
14877c2	0.04	p1_gear_success=0.875/p2_gear_change=0.25/contamination=0.125	400	discard	gear_switch_v7: proper BFS cascade+phase2 persistent retry+gear_up_completed fix; p1=7/8 (FIRST TIME MEETING TARGET!); p2=2/8 worse; agent3 contaminated (scout gear); agent1 infinite loop at failures=1
3032015	0.04	p1_gear_success=0.875/p2_gear_change=0.25/contamination=0.125	400	discard	gear_switch_v8: remove optimistic-without-hazards BFS; same results as v7 (strict-without-hazards also routes through scout); root cause confirmed: infinite loop at failures=1 must be fixed
a16d5c5	0.04	p1=0.875,0.5,0.375_avg0.58/p2=0.125,0.75,0.0_avg0.29/contamination=0,0,0.25	400	discard	gear_switch_v9: fix infinite loop (wrong-gear completion++failures); 3-seed run; contamination 0 on seeds 42/43 but seed 44 had 2 contaminated aligners; breaks agent1 aligner→miner switch
73e0c3c	0.04	p1=0.875,0.625,0.625_avg0.71/p2=0.125,0.625,0.0_avg0.25/contamination=0,0.125,0.125	400	discard	gear_switch_v10: remove all BFS-without-hazards; greedy fallback still causes contamination (seeds 43/44); p1 improved vs v9
4965605	0.04	p1=0.75,0.625,0.375_avg0.58/p2=0.0,0.75,0.0_avg0.25/contamination=0,0,0	400	keep	gear_switch_v11: hazard-check in _navigate_to_station_safe eliminates contamination entirely; p1 regression vs v10 (0.71→0.58); FIRST contamination=0 across all 3 seeds
6b32db2	0.04	p1=0.0/contamination=0	400	discard	gear_switch_v12(broken): replaced greedy fallback with explore_near_hub — all agents get gear=none; lesson: greedy fallback is essential for navigation progress, not just contamination-safe check
